antibody,arm1_target,arm1_pdb,arm2_target,arm2_pdb,n_arms
Fanastomig,LAG3_CD223,Fanastomig_LAG3_CD223_fixed.pdb,PDCD1_CD279_PD1,Fanastomig_PDCD1_CD279_PD1_fixed.pdb,2
Faricimab,ANGPT2,Faricimab_ANGPT2_fixed.pdb,VEGFA,Faricimab_VEGFA_fixed.pdb,2
Fazpilodemab,FGFR1_CD331_BFGFR,Fazpilodemab_FGFR1_CD331_BFGFR_fixed.pdb,KLB,Fazpilodemab_KLB_fixed.pdb,2
Fidasimtamab,ERBB2_CD340_HER2,Fidasimtamab_ERBB2_CD340_HER2_fixed.pdb,PDCD1_CD279_PD1,Fidasimtamab_PDCD1_CD279_PD1_fixed.pdb,2
Flotetuzumab,CD3E,Flotetuzumab_CD3E_fixed.pdb,IL3RA_CD123,Flotetuzumab_IL3RA_CD123_fixed.pdb,2
Forimtamig,CD3E,Forimtamig_CD3E_fixed.pdb,GPRC5D,Forimtamig_GPRC5D_fixed.pdb,2
Galvokimig1,ALB,Galvokimig1_ALB_fixed.pdb,IL17AandIL17F,Galvokimig1_IL17AandIL17F_fixed.pdb,2
Givastomig,CLDN18,Givastomig_CLDN18_fixed.pdb,TNFRSF9_CD137_4-1BB,Givastomig_TNFRSF9_CD137_4-1BB_fixed.pdb,2
Glofitamab,CD3E,Glofitamab_CD3E_fixed.pdb,MS4A1_CD20,Glofitamab_MS4A1_CD20_fixed.pdb,2
Gremubamab,PcrVtypeIIIsecretionsystem,Gremubamab_PcrVtypeIIIsecretionsystem_fixed.pdb,Polysaccharidesynthesislocus(Pseudomonas),Gremubamab_Polysaccharidesynthesislocus(Pseudomonas)_fixed.pdb,2
Gresonitamab,CD3E,Gresonitamab_CD3E_fixed.pdb,CLDN18,Gresonitamab_CLDN18_fixed.pdb,2
Imvotamab,CD3E,Imvotamab_CD3E_fixed.pdb,MS4A1_CD20,Imvotamab_MS4A1_CD20_fixed.pdb,2
Inezetamab,CD40,Inezetamab_CD40_fixed.pdb,MSLN,Inezetamab_MSLN_fixed.pdb,2
Ingitamig,KLRK1_NKG2D_CD314,Ingitamig_KLRK1_NKG2D_CD314_fixed.pdb,TNFRSF17_CD269_BCMA_TNFRSF13A,Ingitamig_TNFRSF17_CD269_BCMA_TNFRSF13A_fixed.pdb,2
Istiratumab,ERBB3_HER3,Istiratumab_ERBB3_HER3_fixed.pdb,IGF1R_CD221,Istiratumab_IGF1R_CD221_fixed.pdb,2
Itanistomig,IAP_CD47,Itanistomig_IAP_CD47_fixed.pdb,PDL1_CD274,Itanistomig_PDL1_CD274_fixed.pdb,2
Ivicentamab_CD37,,Ivicentamab_CD37_fixed.pdb,,,1
Ivonescimab,PDCD1_CD279_PD1,Ivonescimab_PDCD1_CD279_PD1_fixed.pdb,VEGFA,Ivonescimab_VEGFA_fixed.pdb,2
Izalontamab,EGFR_ERBB1_HER1,Izalontamab_EGFR_ERBB1_HER1_fixed.pdb,ERBB3_HER3,Izalontamab_ERBB3_HER3_fixed.pdb,2
